PLAYER,TEAM,Age,GP,PTS,TRB,AST,BLK,Salary,TS%,Predicted_Salary,Valuation,Diff
Josh Green,CHA,24.0,63,7.3,2.6,1.6,0.2,4765339.0,0.549,4708390,Fair,56949.0
AJ Green,MIL,25.0,62,7.4,2.2,1.4,0.1,1761752.0,0.613,4816858,Fair,3055106.0
Goga Bitadze,ORL,25.0,59,7.7,6.9,1.9,1.5,2066585.0,0.647,11212557,Undervalued,9145972.0
Sam Hauser,BOS,27.0,59,7.7,3.1,0.9,0.2,1927896.0,0.615,7892467,Undervalued,5964571.0
Joel Embiid,PHI,31.0,19,23.8,8.2,4.5,0.9,46900000.0,0.58,38277854,Overvalued,8622146.0
Patrick Williams,CHI,23.0,51,8.8,3.9,2.0,0.6,9835881.0,0.493,8253912,Fair,1581969.0
Peyton Watson,DEN,22.0,57,7.9,3.2,1.5,1.2,2303520.0,0.566,6458464,Fair,4154944.0
Al Horford,BOS,38.0,53,8.4,5.9,2.1,0.9,10000000.0,0.556,25840190,Undervalued,15840190.0
Davion Mitchell,MIA,26.0,62,7.1,2.1,4.6,0.2,5063640.0,0.561,8179793,Fair,3116153.0
Tyrese Martin,BKN,26.0,52,8.5,3.6,1.8,0.2,1719864.0,0.529,9484158,Undervalued,7764294.0
Jose Alvarado,NOP,26.0,46,9.6,2.3,4.6,0.2,1836096.0,0.54,11963050,Undervalued,10126954.0
Jake LaRavia,SAC,23.0,63,6.9,4.0,2.5,0.4,3199920.0,0.593,4313314,Fair,1113394.0
Dorian Finney-Smith,LAL,31.0,51,8.5,4.0,1.4,0.3,13932008.0,0.587,14877020,Fair,945012.0
Cameron Payne,NYK,30.0,63,6.8,1.4,2.7,0.2,6500000.0,0.537,11285410,Fair,4785410.0
Sam Merrill,CLE,28.0,60,7.0,2.0,1.4,0.2,1997238.0,0.585,8397791,Undervalued,6400553.0
Johnny Juzang,UTA,24.0,52,8.1,2.9,0.9,0.1,1761752.0,0.569,5328424,Fair,3566672.0
Dalano Banton,POR,25.0,55,7.6,1.8,2.1,0.4,0.0,0.524,7416598,Undervalued,7416598.0
Khris Middleton,WAS,33.0,34,12.2,3.9,4.2,0.2,40396552.0,0.602,23079616,Overvalued,17316936.0
Brandon Ingram,TOR,27.0,18,22.2,5.6,5.2,0.6,33833400.0,0.56,30770308,Fair,3063092.0
Simone Fontecchio,DET,29.0,63,6.2,3.0,0.9,0.2,3044872.0,0.549,8941449,Undervalued,5896577.0
Jaden Hardy,DAL,22.0,47,8.3,1.6,1.4,0.1,1719864.0,0.55,3520114,Fair,1800250.0
Terance Mann,ATL,28.0,54,7.2,2.9,1.9,0.3,10576923.0,0.571,9945876,Fair,631047.0
Moritz Wagner,ORL,27.0,30,12.9,4.9,1.4,0.4,0.0,0.649,16177782,Undervalued,16177782.0
Day'Ron Sharpe,BKN,23.0,48,8.0,6.7,1.8,0.9,2210040.0,0.569,8582519,Undervalued,6372479.0
Haywood Highsmith,MIA,28.0,61,6.3,3.1,1.4,0.6,1902137.0,0.59,9157285,Undervalued,7255148.0
Aaron Nesmith,IND,25.0,33,11.5,3.8,1.4,0.4,5634257.0,0.648,11850326,Undervalued,6216069.0
Max Strus,CLE,28.0,40,9.5,4.4,3.1,0.2,0.0,0.597,13768355,Undervalued,13768355.0
Jay Huff,MEM,27.0,55,6.9,2.1,0.6,0.9,0.0,0.668,8335307,Undervalued,8335307.0
Isaiah Stewart,DET,23.0,64,5.9,5.6,1.7,1.4,5266713.0,0.61,6212756,Fair,946043.0
Gabe Vincent,LAL,28.0,60,6.2,1.2,1.5,0.2,0.0,0.528,7853270,Undervalued,7853270.0
Justin Champagnie,WAS,23.0,48,7.8,5.0,1.0,0.6,1927896.0,0.601,6082787,Fair,4154891.0
Trey Lyles,SAC,29.0,57,6.5,4.6,1.2,0.4,0.0,0.554,10857756,Undervalued,10857756.0
Kris Dunn,LAC,31.0,61,6.0,3.5,3.0,0.4,2586484.0,0.504,13489318,Undervalued,10902834.0
Gary Payton II,GSW,32.0,56,6.5,2.9,1.3,0.3,8715000.0,0.641,12613704,Fair,3898704.0
Jared Butler,PHI,24.0,47,7.7,1.7,3.2,0.2,0.0,0.546,6517296,Undervalued,6517296.0
Thomas Bryant,IND,27.0,53,6.7,4.1,0.9,0.6,0.0,0.615,8675424,Undervalued,8675424.0
Chet Holmgren,OKC,22.0,23,15.2,8.5,1.9,2.5,10386000.0,0.606,21797570,Undervalued,11411570.0
Seth Curry,CHA,34.0,58,6.0,1.6,0.8,0.1,0.0,0.603,13262462,Undervalued,13262462.0
Garrison Mathews,ATL,28.0,45,7.6,1.8,1.3,0.3,2000000.0,0.611,9707326,Undervalued,7707326.0
Jonathan Isaac,ORL,27.0,61,5.6,4.5,0.5,1.1,17400000.0,0.509,9584681,Overvalued,7815319.0
Tre Jones,CHI,25.0,46,7.2,2.5,4.2,0.2,0.0,0.617,7297155,Undervalued,7297155.0
Zach Collins,CHI,27.0,52,6.3,4.3,1.6,0.5,7700000.0,0.597,8611510,Fair,911510.0
Kenrich Williams,OKC,30.0,56,5.8,3.4,1.2,0.1,6175000.0,0.593,9546875,Fair,3371875.0
Luke Kornet,BOS,29.0,61,5.2,5.0,1.6,1.0,2413304.0,0.686,10167394,Undervalued,7754090.0
Javonte Green,CLE,31.0,56,5.7,3.4,0.9,0.5,0.0,0.575,11818858,Undervalued,11818858.0
Cody Martin,PHX,29.0,42,7.6,4.5,2.3,0.7,7560000.0,0.521,14608379,Undervalued,7048379.0
Jeremiah Robinson-Earl,NOP,24.0,54,5.7,4.4,1.1,0.1,1900000.0,0.565,3284489,Fair,1384489.0
Kevon Looney,GSW,29.0,64,4.8,6.3,1.6,0.5,8500000.0,0.53,10023616,Fair,1523616.0
Malcolm Brogdon,WAS,32.0,24,12.7,3.8,4.1,0.2,22500000.0,0.544,23449022,Fair,949022.0
Mason Plumlee,PHX,35.0,68,4.5,6.2,1.8,0.6,0.0,0.639,15641382,Undervalued,15641382.0
Caleb Martin,DAL,29.0,36,8.4,4.1,2.2,0.6,6802950.0,0.524,15238946,Undervalued,8435996.0
Jaxson Hayes,LAL,24.0,44,6.8,4.8,1.2,1.0,9170460.0,0.729,6343062,Fair,2827398.0
Kelly Olynyk,NOP,33.0,36,8.3,4.6,2.7,0.4,12195122.0,0.61,18671375,Undervalued,6476253.0
Shake Milton,LAL,28.0,52,5.7,1.9,1.9,0.1,0.0,0.573,7412206,Undervalued,7412206.0
Trendon Watford,BKN,24.0,32,9.2,3.3,2.3,0.2,1836096.0,0.544,8967112,Undervalued,7131016.0
Andre Drummond,PHI,31.0,40,7.3,7.8,0.8,0.4,3360000.0,0.535,15918374,Undervalued,12558374.0
Precious Achiuwa,NYK,25.0,46,6.3,5.7,1.0,0.7,4379526.0,0.546,7904523,Fair,3524997.0
Alex Caruso,OKC,31.0,44,6.5,2.6,2.5,0.5,9460000.0,0.553,14093110,Fair,4633110.0
Aaron Holiday,HOU,28.0,53,5.3,1.3,1.3,0.2,0.0,0.582,6603395,Undervalued,6603395.0
Talen Horton-Tucker,CHI,24.0,49,5.5,1.7,1.3,0.2,11020000.0,0.546,2961372,Overvalued,8058628.0
Neemias Queta,BOS,25.0,53,5.1,3.9,0.6,0.7,1761752.0,0.668,4205857,Fair,2444105.0
Dean Wade,CLE,28.0,49,5.4,4.7,1.4,0.3,5709877.0,0.556,8721728,Fair,3011851.0
Lonzo Ball,CHI,27.0,35,7.6,3.4,3.3,0.5,20465117.0,0.524,12192785,Overvalued,8272332.0
Eric Gordon,PHI,36.0,39,6.8,1.2,1.7,0.3,20917902.0,0.591,18420942,Fair,2496960.0
Sandro Mamukelashvili,SAS,25.0,47,5.6,2.6,0.6,0.3,0.0,0.68,3232427,Fair,3232427.0
Dalen Terry,CHI,22.0,63,4.2,1.5,1.2,0.2,3350760.0,0.56,-1672849,Overvalued,5023609.0
Marcus Smart,WAS,31.0,29,9.1,2.1,3.5,0.3,18583713.0,0.52,17744684,Fair,839029.0
Nicolas Batum,LAC,36.0,67,3.9,2.9,1.2,0.5,11710818.0,0.6,14747624,Fair,3036806.0
Kyle Anderson,MIA,31.0,50,5.2,3.1,2.2,0.5,9219512.0,0.526,12654972,Fair,3435460.0
Drew Eubanks,LAC,28.0,50,5.1,4.1,1.0,0.7,0.0,0.622,8502316,Undervalued,8502316.0
Bruce Brown,NOP,28.0,33,7.6,3.8,2.0,0.1,6802950.0,0.492,11924468,Undervalued,5121518.0
Ben Simmons,LAC,28.0,41,5.9,5.0,6.4,0.5,37893408.0,0.554,13167664,Overvalued,24725744.0
KJ Martin,UTA,24.0,37,6.5,3.1,1.0,0.6,1930681.0,0.646,5219455,Fair,3288774.0
Isaac Okoro,CLE,24.0,43,5.5,2.2,1.3,0.4,8920794.0,0.568,3829710,Overvalued,5091084.0
Jabari Walker,POR,22.0,50,4.7,3.5,0.6,0.1,1719864.0,0.591,-737766,Fair,2457630.0
Alec Burks,MIA,33.0,37,6.3,2.7,1.2,0.2,10489600.0,0.584,14571509,Fair,4081909.0
Bol Bol,PHX,25.0,32,7.2,3.2,0.6,0.8,2200000.0,0.614,8107213,Undervalued,5907213.0
Lindy Waters III,DET,27.0,46,4.9,2.2,1.0,0.2,1927896.0,0.5,6319313,Fair,4391417.0
Josh Okogie,CHA,26.0,32,6.9,3.0,0.8,0.5,0.0,0.581,8352292,Undervalued,8352292.0
Ryan Rollins,MIL,22.0,44,5.0,1.7,1.3,0.4,1719864.0,0.559,872933,Fair,846931.0
Jaylin Williams,OKC,22.0,39,5.5,5.6,2.5,0.6,2000000.0,0.551,4395482,Fair,2395482.0
DaQuan Jeffries,CHA,27.0,34,6.2,2.8,1.1,0.6,2066585.0,0.522,9607686,Undervalued,7541101.0
Richaun Holmes,WAS,31.0,27,7.7,5.9,1.4,0.8,12046020.0,0.705,16220527,Fair,4174507.0
Orlando Robinson,TOR,24.0,34,6.0,4.4,1.6,0.4,1761752.0,0.508,6338739,Fair,4576987.0
Tre Mann,CHA,24.0,13,14.1,2.9,3.0,0.3,3191400.0,0.537,15869198,Undervalued,12677798.0
Steven Adams,HOU,31.0,50,3.5,5.3,1.2,0.4,12600000.0,0.515,10814836,Fair,1785164.0
Kessler Edwards,DAL,24.0,39,4.3,2.8,1.1,0.5,1927896.0,0.597,2835950,Fair,908054.0
Jae'Sean Tate,HOU,29.0,47,3.6,2.3,0.9,0.1,6500000.0,0.539,6412116,Fair,87884.0
Grant Williams,CHA,26.0,16,10.4,5.1,2.3,0.8,6235494.0,0.596,15304159,Undervalued,9068665.0
Daniel Theis,NOP,32.0,38,4.3,4.3,1.6,0.5,9108386.0,0.558,13164055,Fair,4055669.0
Charles Bassey,SAS,24.0,34,4.6,4.4,0.5,0.9,2600000.0,0.601,4832654,Fair,2232654.0
Paul Reed,DET,25.0,38,4.1,2.6,0.9,0.5,0.0,0.605,3542688,Fair,3542688.0
Zeke Nnaji,DEN,24.0,49,3.2,1.7,0.3,0.6,4306281.0,0.57,891665,Fair,3414616.0
DeAndre Jordan,DEN,36.0,46,3.3,4.7,0.8,0.4,0.0,0.626,14954843,Undervalued,14954843.0
Keaton Wallace,ATL,26.0,28,5.4,1.4,2.2,0.3,0.0,0.529,7007175,Undervalued,7007175.0
Malaki Branham,SAS,21.0,38,3.9,1.0,0.7,0.1,3071880.0,0.566,-2750996,Overvalued,5822876.0
Bones Hyland,MIN,24.0,21,7.0,1.1,1.4,0.2,2306400.0,0.568,5583496,Fair,3277096.0
Caleb Houstan,ORL,22.0,46,3.2,0.9,0.4,0.1,2000000.0,0.544,-2752842,Fair,4752842.0
Landry Shamet,NYK,28.0,37,3.9,1.0,0.5,0.1,10250000.0,0.542,5377730,Fair,4872270.0
Jock Landale,HOU,29.0,36,4.0,3.1,0.8,0.2,0.0,0.544,7867145,Undervalued,7867145.0
Ousmane Dieng,OKC,21.0,37,3.8,2.2,0.8,0.2,4798440.0,0.538,-1751660,Overvalued,6550100.0
David Roddy,HOU,23.0,30,4.7,2.6,1.1,0.3,2718240.0,0.575,2098528,Fair,619712.0
Mo Bamba,NOP,26.0,32,4.3,4.5,0.6,1.0,10300000.0,0.557,7703744,Fair,2596256.0
Pat Connaughton,MIL,32.0,33,4.2,2.5,1.7,0.3,9423869.0,0.534,12334550,Fair,2910681.0
Reggie Jackson,PHI,34.0,31,4.4,1.4,1.5,0.1,0.0,0.496,14178893,Undervalued,14178893.0
Blake Wesley,SAS,22.0,44,3.1,0.8,1.9,0.1,2504640.0,0.516,-1696272,Fair,4200912.0
Jeff Green,HOU,38.0,27,4.9,1.7,0.5,0.1,0.0,0.641,17600354,Undervalued,17600354.0
Kyle Lowry,PHI,38.0,33,4.0,2.0,2.8,0.3,29682540.0,0.53,19408138,Overvalued,10274402.0
Micah Potter,UTA,26.0,32,4.1,4.1,0.8,0.3,547349.0,0.579,5078609,Fair,4531260.0
Kevin Love,MIA,36.0,22,5.5,4.3,1.0,0.2,0.0,0.488,19221587,Undervalued,19221587.0
Quenton Jackson,IND,26.0,23,5.3,1.5,1.7,0.2,547349.0,0.581,6080515,Undervalued,5533166.0
Trevelin Queen,ORL,28.0,28,4.3,1.6,1.2,0.4,0.0,0.447,8703700,Undervalued,8703700.0
Luka Garza,MIN,26.0,33,3.6,1.5,0.3,0.1,1761752.0,0.537,3083523,Fair,1321771.0
Jordan Goodwin,LAL,26.0,16,7.2,4.3,1.6,0.6,1927896.0,0.598,10496786,Undervalued,8568890.0
Doug McDermott,SAC,33.0,36,3.1,0.5,0.1,0.1,13750000.0,0.601,9259883,Fair,4490117.0
Jevon Carter,CHI,29.0,30,3.7,0.9,1.0,0.1,2239943.0,0.547,6826528,Fair,4586585.0
Cory Joseph,ORL,33.0,39,2.8,1.0,1.1,0.1,0.0,0.527,10240098,Undervalued,10240098.0
Jarred Vanderbilt,LAL,25.0,24,4.4,5.1,1.3,0.2,4698000.0,0.57,5064858,Fair,366858.0
Cam Reddish,LAL,25.0,33,3.2,2.0,0.7,0.3,8109966.0,0.498,2905596,Overvalued,5204370.0
Gary Harris,ORL,30.0,36,2.9,1.3,0.6,0.3,13000000.0,0.498,7813933,Overvalued,5186067.0
Maxi Kleber,LAL,33.0,34,3.0,2.8,1.3,0.5,11000000.0,0.489,13051489,Fair,2051489.0
Kai Jones,DAL,24.0,30,3.3,2.2,0.4,0.5,3047880.0,0.795,-357565,Fair,3405445.0
Jericho Sims,MIL,26.0,53,1.8,3.7,0.6,0.4,1927896.0,0.639,1019081,Fair,908815.0
John Konchar,MEM,28.0,38,2.5,3.3,0.9,0.4,2400000.0,0.577,5413756,Fair,3013756.0
Anthony Gill,WAS,32.0,44,2.1,0.9,0.3,0.0,1997238.0,0.61,6497897,Fair,4500659.0
Torrey Craig,BOS,34.0,18,5.2,2.3,0.4,0.3,0.0,0.634,14658306,Undervalued,14658306.0
Dwight Powell,DAL,33.0,45,2.0,2.2,1.0,0.5,0.0,0.727,8722890,Undervalued,8722890.0
Dominick Barlow,ATL,21.0,23,3.9,1.9,0.4,0.6,1761752.0,0.546,-136668,Fair,1898420.0
Josh Minott,MIN,22.0,39,2.3,1.1,0.4,0.3,1719864.0,0.538,-2652834,Fair,4372698.0
Jamal Cain,NOP,26.0,27,3.3,2.0,0.6,0.3,1761752.0,0.508,4288269,Fair,2526517.0
Bismack Biyombo,SAS,32.0,17,5.1,4.8,1.1,0.8,0.0,0.654,14940483,Undervalued,14940483.0
Dru Smith,MIA,27.0,14,6.2,2.6,1.6,0.4,0.0,0.656,8852955,Undervalued,8852955.0
Christian Koloko,LAL,24.0,34,2.5,2.4,0.5,0.3,1719864.0,0.633,-334383,Fair,2054247.0
Taj Gibson,CHA,39.0,28,2.9,3.5,0.6,0.4,0.0,0.525,19250035,Undervalued,19250035.0
Johnny Davis,WAS,23.0,34,2.4,1.1,0.3,0.2,5050800.0,0.473,-894244,Overvalued,5945044.0
Moses Brown,DAL,25.0,13,5.8,3.4,0.2,0.3,0.0,0.706,4899117,Fair,4899117.0
Delon Wright,NYK,32.0,31,2.3,1.6,1.6,0.3,8195122.0,0.384,11446063,Fair,3250941.0
Jaden Springer,UTA,22.0,33,2.2,1.0,0.7,0.1,2226240.0,0.54,-2978574,Overvalued,5204814.0
Collin Gillespie,PHX,25.0,21,3.4,1.6,1.7,0.1,1761752.0,0.549,3001043,Fair,1239291.0
Jared Rhoden,TOR,25.0,10,7.1,3.0,0.8,0.2,1761752.0,0.523,8137333,Undervalued,6375581.0
Alex Len,LAL,31.0,44,1.6,2.1,0.8,0.5,0.0,0.526,7878544,Undervalued,7878544.0
Jordan McLaughlin,SAS,28.0,36,1.9,0.6,0.9,0.0,2320000.0,0.591,2531134,Fair,211134.0
MarJon Beauchamp,NYK,24.0,31,2.2,1.2,0.3,0.0,2609400.0,0.522,-892648,Fair,3502048.0
Jaylen Nowell,NOP,25.0,8,8.4,2.5,2.2,0.5,0.0,0.43,12090678,Undervalued,12090678.0
De'Anthony Melton,BKN,26.0,6,10.3,3.3,2.8,0.3,8000000.0,0.539,14333942,Undervalued,6333942.0
Damion Lee,PHX,32.0,18,3.3,0.8,0.5,0.0,0.0,0.488,10334030,Undervalued,10334030.0
Bruno Fernando,TOR,26.0,17,3.4,3.0,1.1,0.5,2581522.0,0.552,5697260,Fair,3115738.0
Killian Hayes,BKN,23.0,6,9.0,3.0,5.2,0.7,7413955.0,0.559,11765188,Fair,4351233.0
Mitchell Robinson,NYK,26.0,9,5.7,5.6,0.4,0.9,15681818.0,0.692,8994534,Overvalued,6687284.0
Tristan Thompson,CLE,34.0,35,1.5,2.7,0.6,0.2,0.0,0.4,12019401,Undervalued,12019401.0
Markieff Morris,LAL,35.0,13,3.3,1.5,1.1,0.2,0.0,0.355,16481698,Undervalued,16481698.0
JT Thor,WAS,22.0,11,3.5,1.3,0.4,0.3,1836096.0,0.641,-924123,Fair,2760219.0
Lamar Stevens,MEM,27.0,9,4.2,3.2,0.6,0.3,1930681.0,0.528,7505925,Undervalued,5575244.0
Oshae Brissett,PHI,26.0,4,9.5,4.2,1.0,0.8,0.0,0.567,14145262,Undervalued,14145262.0
Chris Duarte,CHI,27.0,17,2.1,1.2,0.5,0.0,4124400.0,0.61,2334794,Fair,1789606.0
Isaiah Jackson,IND,23.0,5,7.0,5.6,1.0,1.6,2696280.0,0.6,10592592,Undervalued,7896312.0
Garrett Temple,TOR,38.0,24,1.3,1.0,1.1,0.1,5401000.0,0.352,16717018,Undervalued,11316018.0
Josh Richardson,MIA,31.0,8,4.0,1.5,1.5,0.1,0.0,0.402,12395778,Undervalued,12395778.0
Markelle Fultz,SAC,26.0,12,2.6,0.6,0.8,0.1,17000000.0,0.414,4165631,Overvalued,12834369.0
Xavier Tillman,BOS,26.0,29,1.0,1.3,0.2,0.2,1930681.0,0.32,2735896,Fair,805215.0
Matt Ryan,NYK,27.0,19,1.5,0.4,0.2,0.0,1761752.0,0.439,2804992,Fair,1043240.0
Chuma Okeke,PHI,26.0,4,5.2,5.8,1.0,0.2,5266712.0,0.875,5142158,Fair,124554.0
Tony Bradley,IND,27.0,7,3.0,1.9,0.4,0.4,0.0,0.815,3225009,Fair,3225009.0
Jae Crowder,SAC,34.0,7,2.9,2.4,0.6,0.0,0.0,0.509,13114665,Undervalued,13114665.0
Malachi Flynn,CHA,26.0,4,4.0,1.8,1.8,0.0,3873024.0,0.512,5793691,Fair,1920667.0
Joe Ingles,MIN,37.0,18,0.8,0.6,1.2,0.0,0.0,0.375,14704072,Undervalued,14704072.0
Bryce McGowens,POR,22.0,12,1.1,0.2,0.1,0.0,1719864.0,0.416,-2879003,Fair,4598867.0
JD Davison,BOS,22.0,9,1.3,0.3,0.3,0.0,1761752.0,0.536,-3542050,Overvalued,5303802.0
Matisse Thybulle,POR,28.0,3,4.0,4.0,1.3,0.7,6275861.0,0.466,11223999,Fair,4948138.0
Stanley Umude,MIL,25.0,20,0.6,0.8,0.2,0.2,0.0,0.242,2182389,Fair,2182389.0
Lester Quinones,NOP,24.0,4,2.2,1.0,0.2,0.0,0.0,0.533,177793,Fair,177793.0
James Johnson,IND,38.0,12,0.7,0.5,0.3,0.2,0.0,0.35,16349082,Undervalued,16349082.0
PJ Dozier,MIN,28.0,9,0.8,0.6,0.6,0.0,2413304.0,0.621,2172153,Fair,241151.0
James Wiseman,IND,23.0,1,6.0,1.0,0.0,0.0,12119440.0,0.615,2430985,Overvalued,9688455.0
Josh Christopher,MIA,23.0,8,0.8,0.4,0.5,0.1,2485200.0,0.342,-553407,Fair,3038607.0
Alondes Williams,DET,25.0,1,5.0,0.0,1.0,0.0,0.0,1.25,-2393584,Fair,2393584.0
Jamaree Bouyea,MIL,25.0,1,2.0,0.0,1.0,0.0,0.0,1.0,-3232367,Fair,3232367.0
Daishen Nix,MIN,23.0,3,0.3,1.3,1.0,0.0,1836096.0,0.266,169006,Fair,1667090.0
Cole Swider,DET,25.0,2,0.0,1.0,0.5,0.0,547349.0,0.0,4379328,Fair,3831979.0
Justin Minaya,POR,25.0,9,0.0,0.4,0.2,0.0,0.0,0.0,3663784,Fair,3663784.0
